,number of bedrooms,number of bathrooms,living area,lot area,number of floors,waterfront present,number of views,condition of the house,grade of the house,Area of the house(excluding basement),Area of the basement,living_area_renov,lot_area_renov,Number of schools nearby,Distance from the airport,Price,Property Age,Renovation Age
3706,4,2.5,2229,5723,2.0,0,0,3,7,2229,0,2738,5742,1,55,324950,4,0
3707,4,2.5,2223,5780,2.0,0,0,3,8,2223,0,1690,7766,2,71,320000,6,0
3708,3,1.75,2220,216493,1.0,0,2,3,8,2220,0,2900,169884,1,55,585000,27,0
3709,4,2.25,2220,130244,2.0,0,0,3,8,2220,0,2680,130680,2,65,652500,27,0
3710,3,2.5,2220,60984,2.0,0,0,4,8,2220,0,1930,55333,2,56,475000,29,0
3711,4,2.25,2220,36085,2.0,0,0,3,9,2220,0,3000,36906,2,66,625000,27,0
3712,2,1.75,2220,33000,1.0,0,0,4,8,2220,0,2220,33000,2,60,494950,46,0
3713,3,2.5,2220,20531,2.0,0,0,3,8,2220,0,2420,19249,1,72,382450,18,0
3714,4,3.5,3290,20107,2.0,0,4,3,10,2220,1070,2990,16988,1,58,799000,26,0
3715,4,2.0,2530,15520,1.0,0,0,5,8,2220,310,2500,13300,3,59,813500,52,0
3716,3,1.75,2220,17568,1.0,0,0,4,8,2220,0,2070,11745,2,78,437000,49,0
3717,4,1.75,2220,6500,2.0,0,3,4,8,2220,0,2430,11600,2,78,480000,52,0
3718,3,2.25,2220,9800,2.0,0,0,3,8,2220,0,2420,10232,2,69,470000,29,0
3719,4,3.0,2940,7108,2.0,0,1,3,9,2220,720,2240,7950,1,66,870000,5,0
3720,4,2.5,2220,7064,2.0,0,0,3,8,2220,0,2220,7451,2,80,580000,28,0
3721,3,2.5,2220,6049,2.0,0,0,4,8,2220,0,1980,7226,1,57,325000,26,0
3722,4,2.25,2220,6953,2.0,0,0,4,8,2220,0,2240,6716,3,50,350000,17,0
3723,3,3.0,3230,8625,2.0,0,3,3,10,2220,1010,2330,6022,1,66,1260000,18,0
3724,6,3.5,2410,6000,2.0,0,4,3,9,2220,190,1980,6000,3,55,767500,100,26
3725,3,2.5,2220,2550,3.0,0,2,3,10,2220,0,2200,5610,2,58,641250,26,0
3726,4,2.5,2220,6233,2.0,0,0,3,7,2220,0,2220,5352,3,77,291375,15,0
3727,4,2.5,2220,5338,2.0,0,0,3,7,2220,0,2220,5338,3,58,370000,15,0
3728,4,2.5,2220,6800,2.0,0,0,3,7,2220,0,2220,5303,1,78,419950,14,0
3729,6,2.0,2220,8797,1.0,0,0,3,7,2220,0,1170,5123,3,80,260000,39,0
3730,4,2.25,2870,5453,2.0,0,1,4,8,2220,650,1660,4800,2,55,665900,90,0
3731,4,2.5,2220,4652,2.0,0,0,3,7,2220,0,1840,4500,2,74,405000,15,0
3732,4,2.5,2220,3561,2.0,0,0,3,8,2220,0,2530,4449,1,56,349990,2,0
3733,4,2.5,2220,4228,2.0,0,0,3,8,2220,0,2220,4157,1,68,334990,2,0
3734,2,2.5,2220,4000,2.0,0,0,3,9,2220,0,1870,4000,3,67,1430000,16,0
3735,3,2.5,2390,1984,2.0,0,0,3,8,2220,170,2150,1984,3,57,629800,8,0
3736,3,2.5,2217,8019,2.0,0,0,3,7,2217,0,1470,8037,2,71,275000,7,0
3737,3,2.5,2210,70567,2.0,0,3,3,9,2210,0,2000,73616,2,76,509950,21,0
3738,3,3.25,3130,28001,1.0,0,0,3,9,2210,920,2710,34999,1,65,595000,31,0
3739,4,2.75,2910,18700,1.0,0,0,3,9,2210,700,2420,26140,2,61,749950,59,21
3740,4,2.5,2210,17715,2.0,0,0,3,8,2210,0,2210,16907,2,54,360000,19,0
3741,4,2.0,3510,12905,1.0,0,2,3,8,2210,1300,2530,16143,2,50,554820,51,34
3742,4,2.5,2210,13721,2.0,0,0,3,8,2210,0,1850,12951,1,69,353000,7,0
3743,4,2.25,2210,9371,2.0,0,0,4,8,2210,0,2300,11584,3,69,305000,48,0
3744,5,1.75,2840,10220,1.0,0,0,4,7,2210,630,2000,9750,3,53,462000,62,0
3745,3,2.5,2210,8010,2.0,0,0,3,8,2210,0,2430,9600,2,79,445000,18,0
3746,4,2.25,2210,11700,2.0,0,0,4,8,2210,0,2040,9000,3,52,336000,49,0
3747,3,2.5,2210,9226,2.0,0,0,3,8,2210,0,2430,8902,2,54,432900,18,0
3748,4,2.5,2210,9875,2.0,0,0,3,9,2210,0,2440,8799,1,60,639000,26,0
3749,4,2.5,2210,9427,2.0,0,0,3,7,2210,0,1770,8770,2,71,375000,17,0
3750,3,2.5,2210,7557,2.0,0,0,3,9,2210,0,2440,8641,3,78,330000,27,0
3751,4,2.5,3190,11375,1.0,0,0,5,8,2210,980,1100,8500,1,66,659000,70,0
3752,3,1.5,2210,11111,1.5,0,0,3,7,2210,0,1250,8422,2,80,250000,82,0
3753,5,2.0,2740,8230,1.5,0,0,3,7,2210,530,2130,8232,1,52,407500,54,0
3754,3,2.25,2210,8000,2.0,0,0,4,8,2210,0,1990,8000,2,79,250250,47,0
3755,3,2.25,2210,7916,2.0,0,0,3,8,2210,0,1450,7955,2,77,500000,38,0
3756,4,2.25,2210,7665,2.0,0,0,4,8,2210,0,1960,7903,2,52,530000,48,0
3757,3,2.5,2210,7620,2.0,0,0,3,8,2210,0,1920,7440,1,68,535000,22,0
3758,4,2.5,2210,7214,2.0,0,0,3,8,2210,0,2270,7246,3,76,335000,13,0
3759,3,2.5,2210,7000,2.0,0,0,4,8,2210,0,2260,7224,2,74,412000,31,0
3760,3,2.5,2210,8622,2.0,0,0,3,8,2210,0,2340,7192,2,64,590000,28,0
3761,4,2.5,2210,7079,2.0,0,0,3,8,2210,0,1970,7000,2,62,382500,23,0
3762,2,2.5,2210,6327,1.0,0,0,3,8,2210,0,2170,6327,1,57,802000,13,0
3763,3,1.5,2210,6300,1.5,0,0,5,8,2210,0,2700,6300,3,79,799000,100,0
3764,4,2.5,2990,5280,2.0,0,0,3,9,2210,780,2990,6299,2,72,760000,13,0
3765,3,2.5,2210,6280,2.0,0,0,3,8,2210,0,2250,5972,3,56,359950,13,0
3766,4,2.5,2210,4861,2.0,0,0,3,9,2210,0,1590,5080,2,62,650000,3,0
3767,3,2.75,2210,4000,2.0,0,0,3,8,2210,0,2230,4674,2,61,660000,8,0
3768,4,1.0,2210,4366,2.0,0,0,3,8,2210,0,1740,1745,2,54,589000,115,0
3769,4,2.0,2208,5000,3.0,0,0,5,8,2208,0,1760,5000,3,70,650000,99,0
3770,4,3.25,4350,112750,1.0,0,0,3,9,2200,2150,2180,223027,1,62,850000,10,0
3771,2,2.5,2200,188200,1.0,0,3,3,8,2200,0,2700,84942,1,78,705000,9,0
3772,3,1.75,2200,7706,2.0,0,2,3,7,2200,0,1170,70973,1,55,485000,108,28
3773,3,2.5,2200,34680,2.0,0,0,3,9,2200,0,2560,35840,3,66,424000,31,0
3774,3,2.25,2200,16921,2.0,0,0,3,8,2200,0,2060,16921,3,75,410000,29,0
3775,3,1.75,2200,14630,1.5,0,1,3,8,2200,0,2850,15803,1,56,1230000,68,13
3776,3,2.5,2200,11000,2.0,0,2,3,9,2200,0,2200,12851,2,74,580000,38,0
3777,4,2.5,2600,11542,1.5,0,0,4,9,2200,400,2840,10960,2,58,1230000,77,0
3778,4,3.0,2200,10800,1.0,0,0,3,6,2200,0,1430,10800,1,68,300000,56,0
3779,3,2.25,2200,8375,2.0,0,0,3,8,2200,0,2200,10002,2,54,285167,28,0
3780,4,2.25,2510,9963,1.0,0,0,4,9,2200,310,3110,9963,1,70,800000,49,0
3781,3,2.5,2200,9696,2.0,0,0,3,8,2200,0,2200,9915,3,57,365000,29,0
3782,4,2.5,2200,9397,2.0,0,0,3,8,2200,0,2310,9176,3,80,285000,29,0
3783,3,2.5,2200,7278,2.0,0,0,3,8,2200,0,2190,8580,2,78,349900,26,0
3784,4,2.5,2200,8065,2.0,0,0,3,7,2200,0,2641,8535,3,52,300000,18,0
3785,4,2.25,2200,8292,2.0,0,0,3,7,2200,0,1090,8290,3,69,410000,26,0
3786,4,2.5,3140,7260,2.0,0,0,3,8,2200,940,2860,8186,2,62,744000,12,0
3787,3,1.75,2200,11520,1.0,0,0,4,7,2200,0,1690,8038,2,53,359000,64,0
3788,3,2.25,2200,8000,2.0,0,0,3,8,2200,0,2170,8000,2,67,360000,35,0
3789,3,2.5,2200,7201,2.0,0,0,3,8,2200,0,2250,7240,3,50,302495,22,0
3790,4,2.25,2200,6900,2.0,0,0,4,8,2200,0,2400,6900,3,57,512500,41,0
3791,3,2.5,3380,7074,2.0,0,0,3,8,2200,1180,2060,6548,1,67,435000,17,0
3792,4,2.0,2450,5000,2.0,0,4,5,8,2200,250,2360,6090,1,54,969000,97,0
3793,3,2.75,2200,3885,2.0,0,0,3,8,2200,0,2710,6000,1,55,572000,14,0
3794,4,2.5,2200,6018,2.0,0,0,3,8,2200,0,2480,5899,3,60,396800,6,0
3795,4,2.5,2200,6400,2.0,0,0,3,8,2200,0,2600,5870,1,64,460000,6,0
3796,4,2.5,2200,5730,2.0,0,0,3,8,2200,0,2200,5772,3,68,299900,13,0
3797,3,1.5,2200,5000,1.5,0,0,3,9,2200,0,2860,5000,3,59,924000,84,0
3798,3,1.5,2420,5000,2.0,0,0,4,8,2200,220,2070,5000,3,52,870000,91,0
3799,3,2.25,3650,5353,2.0,0,4,4,7,2200,1450,1950,4970,3,74,920000,69,0
3800,4,3.75,3520,3944,1.5,0,0,5,8,2200,1320,2310,4725,2,75,1220000,103,0
3801,4,3.5,2970,5000,2.0,0,2,3,9,2200,770,1470,4560,1,74,866800,15,0
3802,6,3.0,3300,4218,2.0,0,0,3,8,2200,1100,1420,4218,3,71,920000,46,0
3803,3,2.5,2200,3360,2.0,0,0,3,8,2200,0,2130,3423,3,57,433500,7,0
3804,3,2.5,2198,6222,2.0,0,2,3,8,2198,0,2198,7621,2,54,388000,6,0
3805,4,2.25,2192,12128,2.0,0,0,3,8,2192,0,1914,4649,1,56,310000,10,0
3806,4,1.75,2190,125452,1.0,0,2,3,9,2190,0,3000,125017,3,64,491500,48,0
3807,3,2.25,2190,107593,2.0,0,0,4,8,2190,0,2570,47777,1,64,699950,33,0
3808,3,2.25,3440,44374,2.0,0,3,4,10,2190,1250,3470,40185,2,55,740000,37,0
3809,5,1.75,2190,27260,1.0,0,0,4,7,2190,0,1620,39480,2,71,310000,69,42
3810,5,2.75,3320,23760,2.0,0,0,4,8,2190,1130,2520,36720,3,72,622500,41,0
3811,4,1.5,2190,13660,1.0,0,3,3,8,2190,0,2520,20500,2,78,625000,64,0
3812,3,1.75,2190,12626,2.0,0,0,4,8,2190,0,3110,14592,1,50,340000,38,0
3813,3,2.5,2190,17108,2.0,0,0,3,8,2190,0,2400,14040,1,73,463000,25,0
3814,3,2.0,2190,13673,1.0,0,0,4,9,2190,0,2770,13804,1,53,432000,22,0
3815,4,2.5,3280,16575,1.0,0,0,3,9,2190,1090,1570,13209,3,69,706000,44,0
3816,4,2.75,2190,14937,2.0,0,0,3,8,2190,0,1920,11360,3,61,367300,23,0
3817,3,2.5,2190,10370,2.0,0,0,3,9,2190,0,2470,10472,2,70,665000,29,0
3818,3,2.5,2190,7982,2.0,0,0,3,8,2190,0,2090,8888,3,80,700000,12,0
3819,3,1.75,2190,8500,1.0,0,0,4,9,2190,0,2850,8868,1,60,1570000,59,0
3820,3,1.75,4000,11894,1.0,0,0,3,9,2190,1810,2530,8650,2,70,628000,29,0
3821,4,2.25,2190,9020,2.0,0,0,3,8,2190,0,2170,8400,2,53,320000,38,0
3822,4,2.25,2190,9113,2.0,0,0,3,7,2190,0,1570,8306,2,72,245000,30,0
3823,4,2.5,2190,7125,2.0,0,0,5,8,2190,0,2190,8075,3,70,320000,38,0
3824,3,1.75,2190,1716,1.0,0,0,4,8,2190,0,1980,8000,1,66,313000,49,0
3825,3,3.25,3130,9302,2.0,0,0,3,8,2190,940,2350,7949,3,70,310000,29,0
3826,4,2.5,2190,7000,2.0,0,0,3,8,2190,0,2040,7700,2,75,334950,19,0
3827,5,3.75,3290,6480,2.0,0,0,5,10,2190,1100,2010,7639,3,78,1390000,78,0
3828,4,3.5,3090,10510,1.0,0,0,3,8,2190,900,2200,7408,1,58,549950,25,0
3829,4,2.5,2190,7350,2.5,0,0,5,8,2190,0,1880,7350,1,80,925000,58,0
3830,3,2.5,2190,4882,2.0,0,0,3,9,2190,0,2190,7055,3,67,503000,17,0
3831,3,2.5,2190,5091,2.0,0,0,3,8,2190,0,2200,5948,3,52,365000,12,0
3832,4,2.5,2190,6896,2.0,0,0,3,7,2190,0,2190,5900,2,72,452000,9,0
3833,4,2.5,2190,6578,2.0,0,0,3,7,2190,0,2190,5416,1,76,435000,12,0
3834,4,3.0,2190,5085,2.0,0,0,4,8,2190,0,2130,5142,3,52,520000,24,0
3835,4,1.0,3410,5000,2.0,0,0,5,8,2190,1220,2550,5000,1,58,1040000,106,0
3836,4,1.0,3390,4500,1.5,0,0,3,8,2190,1200,2030,4872,2,64,780000,92,2
3837,4,2.0,2190,4560,2.5,0,0,5,8,2190,0,2190,4560,2,54,980000,106,0
3838,3,2.25,2190,45738,1.0,0,0,3,8,2190,0,2970,4496,3,56,620000,26,0
3839,4,2.25,2190,3850,2.0,0,0,3,7,2190,0,1900,3850,3,62,350000,10,0
3840,4,2.75,2190,990,2.0,0,0,3,8,2190,0,2190,3619,1,78,465000,12,0
3841,3,2.25,2190,2416,3.0,0,0,3,8,2190,0,1510,3615,2,74,719950,2,0
3842,4,2.5,2860,3345,2.0,0,0,3,8,2190,670,2860,3596,3,73,499950,12,0
3843,4,2.25,2190,3746,2.0,0,0,3,8,2190,0,2200,3591,3,62,294000,11,0
3844,4,3.5,3070,4684,2.0,0,0,3,10,2190,880,2290,2664,3,57,785000,7,0
3845,3,2.5,2180,40278,2.0,0,0,3,9,2180,0,2630,40000,3,68,580000,31,0
3846,2,2.0,2180,21392,2.0,0,0,3,8,2180,0,2890,22000,2,54,750000,82,37
3847,3,1.75,2180,14734,2.0,0,0,3,9,2180,0,2300,21618,3,76,488000,26,0
3848,4,2.5,3450,17400,1.5,0,0,4,9,2180,1270,3770,19530,3,75,1390000,52,0
3849,4,2.25,2660,22194,1.0,0,0,4,8,2180,480,2660,18135,1,61,625000,39,0
3850,4,2.0,2180,17180,2.0,0,0,4,7,2180,0,1880,14043,3,65,470000,39,0
3851,4,3.0,3550,12327,1.5,0,0,4,10,2180,1370,3170,12937,1,77,720000,26,0
3852,3,2.75,2980,27144,1.5,1,2,5,8,2180,800,1890,12514,1,73,947500,99,0
3853,4,2.5,2180,11200,1.0,0,0,4,8,2180,0,1790,11200,1,76,480500,48,0
3854,4,3.25,3070,10375,2.0,0,0,3,10,2180,890,2500,11194,1,75,1500000,54,11
3855,3,2.5,2180,15484,1.0,0,0,3,8,2180,0,2090,10775,3,65,350000,24,0
3856,5,3.25,3130,12087,2.0,0,0,3,8,2180,950,2410,10350,1,65,500000,41,0
3857,4,2.25,2180,7297,2.0,0,0,3,8,2180,0,2250,9781,3,74,610750,32,0
3858,3,2.5,2180,9722,2.0,0,0,3,8,2180,0,2440,9722,3,55,515700,22,0
3859,4,1.0,2180,10617,1.5,0,0,3,7,2180,0,1360,9519,2,50,359000,66,0
3860,3,2.25,2180,9246,2.0,0,0,3,9,2180,0,2300,9298,1,76,570000,32,0
3861,4,3.0,4280,18834,1.0,0,4,5,11,2180,2100,2490,8858,1,69,2050000,45,0
3862,5,2.25,2180,7813,2.0,0,0,3,7,2180,0,1880,8649,2,54,302000,30,0
3863,3,2.25,2180,7741,2.0,0,0,3,9,2180,0,2300,8581,1,52,621138,30,0
3864,3,2.5,3350,7752,1.0,0,0,3,9,2180,1170,2570,7988,1,69,1300000,7,0
3865,6,3.0,2180,7956,2.0,0,0,3,7,2180,0,2214,7684,2,72,235000,36,0
3866,5,3.25,2180,7200,2.0,0,0,4,7,2180,0,1840,7644,3,55,473000,34,0
3867,3,2.5,2180,1850,2.0,0,0,3,7,2180,0,2180,7347,2,69,496000,6,0
3868,6,3.0,2180,7220,2.0,0,0,3,7,2180,0,2260,7344,1,52,230000,36,0
3869,4,2.5,2180,7203,2.0,0,0,4,8,2180,0,2350,7334,1,57,464000,27,0
3870,4,2.5,3280,7100,2.0,0,4,3,10,2180,1100,3240,6674,3,59,2300000,105,29
3871,4,3.0,2180,12196,2.0,0,0,4,7,2180,0,1500,6534,2,59,499900,48,0
3872,4,2.75,2180,5799,2.0,0,0,4,8,2180,0,2060,6061,1,50,571500,23,0
3873,4,2.25,3270,6000,2.0,0,0,5,8,2180,1090,2880,6000,3,54,1210000,107,0
3874,5,3.25,3160,5000,2.0,0,2,3,10,2180,980,3160,5746,1,57,957000,11,0
3875,4,2.5,2180,5367,2.0,0,0,3,7,2180,0,2180,5130,3,63,339995,16,0
3876,4,2.5,3220,4400,2.0,0,2,3,9,2180,1040,3000,5000,3,58,862500,79,0
3877,3,2.5,2180,4226,2.0,0,0,3,8,2180,0,2540,4607,2,75,450000,12,0
3878,4,2.5,2180,3893,2.0,0,0,3,8,2180,0,1710,4550,3,63,726500,17,0
3879,6,3.0,2880,3192,2.0,0,0,4,8,2180,700,1870,4533,3,67,1130000,97,0
3880,5,3.0,3350,9450,2.0,0,0,5,8,2180,1170,2660,4500,1,54,1000000,104,36
3881,5,3.5,3270,4080,2.0,0,0,3,9,2180,1090,1410,4080,3,72,1310000,5,0
3882,4,2.5,2180,9800,2.0,0,0,3,8,2180,0,2660,4000,1,64,825000,96,11
3883,3,2.75,2180,3703,2.0,0,0,3,8,2180,0,2190,3963,2,80,445000,12,0
3884,4,3.0,2770,2650,2.0,0,0,3,9,2180,590,1820,2960,3,72,1110000,2,0
3885,4,2.5,2170,204296,1.0,0,0,4,7,2170,0,1760,154202,2,76,400000,36,0
3886,3,1.75,2170,153767,1.0,0,0,3,7,2170,0,2840,49500,3,74,585000,40,0
3887,3,1.5,2710,47419,1.5,0,0,3,7,2170,540,2130,48144,1,53,442500,36,0
3888,2,1.75,2170,7089,1.0,0,2,4,8,2170,0,3020,23135,2,60,850000,64,0
3889,4,2.75,3260,19542,1.0,0,0,4,10,2170,1090,3480,19863,3,78,1880000,48,0
3890,4,2.5,2170,14024,2.0,0,0,3,8,2170,0,2240,14029,3,64,442500,24,0
3891,3,3.0,3700,16857,1.0,0,0,3,10,2170,1530,2320,12000,2,51,1100000,16,0
3892,4,1.5,2170,9948,2.0,0,0,3,7,2170,0,1500,9750,2,56,195000,64,0
3893,4,2.75,2170,9658,1.5,0,0,3,7,2170,0,1490,9731,2,80,275436,50,0
3894,4,1.75,2170,9525,1.0,0,0,3,8,2170,0,1910,9525,3,71,842000,56,0
3895,3,1.75,2170,12220,1.0,0,0,5,8,2170,0,1980,9000,1,70,907000,51,0
3896,4,2.25,2170,7737,2.0,0,0,3,8,2170,0,1850,8869,1,50,566000,29,0
3897,3,2.75,2170,8396,2.0,0,0,3,7,2170,0,2170,8378,3,64,353000,21,0
3898,4,2.75,2170,5988,2.0,0,0,3,8,2170,0,1170,8147,3,75,551000,2,0
3899,3,2.5,2170,9798,2.0,0,0,3,7,2170,0,2020,8121,1,71,340000,21,0
3900,3,2.25,2570,7242,2.0,0,0,3,7,2170,400,1690,7639,2,56,538000,65,25
3901,4,2.5,2170,5257,2.0,0,0,3,7,2170,0,1430,7528,3,67,445000,27,0
3902,3,2.25,2170,5001,2.0,0,0,3,8,2170,0,1700,6991,1,76,802000,2,0
3903,2,2.5,2170,6750,1.0,0,0,3,8,2170,0,2150,6074,3,64,765000,4,0
3904,2,2.5,2170,8678,1.0,0,0,3,8,2170,0,2170,5890,3,75,740000,8,0
3905,3,2.5,2170,5866,2.0,0,0,3,7,2170,0,2440,5798,1,80,443500,10,0
3906,4,2.5,2830,5010,2.0,0,0,3,9,2170,660,1880,5739,1,73,738000,16,0
3907,4,3.0,2170,5764,2.0,0,0,3,8,2170,0,2010,5681,1,77,560000,24,0
3908,3,2.5,2170,5000,2.0,0,0,3,9,2170,0,2170,5000,3,62,619500,13,0
3909,3,2.5,2170,4905,2.0,0,0,3,8,2170,0,2300,4935,1,63,329900,12,0
3910,4,2.75,2290,6120,2.0,0,0,4,7,2170,120,1910,4590,1,58,1000000,90,0
3911,3,2.5,2170,4912,2.0,0,0,3,7,2170,0,2010,4395,2,58,449950,13,0
3912,3,3.25,2660,4000,2.0,0,0,3,9,2170,490,2660,4000,3,53,915000,13,0
3913,5,2.5,2170,2752,2.0,0,0,3,8,2170,0,1800,2752,2,69,359800,2,0
3914,5,2.5,2170,2752,2.0,0,0,3,8,2170,0,1800,2752,1,68,359800,2,0
3915,4,2.25,2670,9040,1.0,0,0,3,8,2170,500,1880,2648,2,64,339950,61,0
3916,3,2.0,2168,4000,1.5,0,0,3,8,2168,0,1770,4000,1,79,575000,109,0
3917,5,2.75,2166,6342,2.0,0,0,3,8,2166,0,2474,5948,3,74,326000,3,0
3918,4,3.0,2163,5883,2.0,0,0,3,7,2163,0,1700,10143,3,68,248000,10,0
3919,3,2.5,2160,59241,1.0,0,0,3,7,2160,0,2290,125017,2,60,389900,9,0
3920,5,2.5,4320,107157,1.0,0,0,4,8,2160,2160,2480,107157,3,79,565000,49,0
3921,4,1.75,2160,28750,2.0,0,0,4,8,2160,0,1790,53578,1,52,324888,38,0
3922,3,1.75,3160,76230,1.0,0,0,4,8,2160,1000,1990,45789,1,78,625000,38,0
3923,3,2.5,2160,35912,2.0,0,0,3,8,2160,0,2230,35244,2,56,475000,34,0
3924,2,2.0,2160,35183,1.0,0,0,3,9,2160,0,2450,34992,2,80,381500,31,0
3925,5,2.75,2960,28300,1.0,0,3,4,9,2160,800,2940,23250,3,77,1250000,57,0
3926,2,2.25,2160,17861,2.0,1,4,4,9,2160,0,2660,18530,2,58,1200000,60,0
3927,3,2.25,4320,19225,1.0,0,0,4,10,2160,2160,3430,18469,3,66,1780000,44,0
3928,5,2.5,3200,17204,1.0,0,0,3,7,2160,1040,4090,15732,3,64,1270000,64,0
3929,3,2.5,3160,24437,1.0,0,3,3,11,2160,1000,3990,11977,1,57,1150000,25,0
3930,4,2.5,2160,9750,2.0,0,0,3,8,2160,0,2840,10535,1,79,518000,33,0
3931,4,2.5,2160,9528,2.0,0,0,3,9,2160,0,2280,9937,3,79,360000,24,0
3932,3,2.0,2160,15788,1.0,0,0,3,8,2160,0,2260,9787,1,55,987000,65,0
3933,4,1.75,2160,19283,2.0,0,0,3,8,2160,0,1990,9744,2,56,475000,35,0
3934,4,2.25,2160,9593,1.0,0,0,3,8,2160,0,2820,9628,2,51,580000,47,0
3935,4,2.5,2160,9682,2.0,0,0,3,8,2160,0,1770,9600,3,71,345500,17,0
3936,3,2.25,2160,9612,2.0,0,0,3,7,2160,0,1970,9247,3,54,277000,22,0
3937,3,2.0,2160,8091,1.5,0,0,3,8,2160,0,2190,8297,2,64,355000,16,0
3938,4,2.5,2160,8005,2.0,0,0,3,7,2160,0,1790,8016,3,76,220000,23,0
3939,3,2.5,2160,7525,2.0,0,0,3,9,2160,0,2470,7941,1,57,756000,30,0
3940,3,2.5,2160,9888,2.0,0,0,4,9,2160,0,3060,7829,2,76,733000,27,0
3941,5,2.5,2160,7737,2.0,0,0,3,7,2160,0,2460,7737,1,67,480000,18,0
3942,4,1.75,2160,7700,2.0,0,0,2,8,2160,0,2080,7700,1,60,429000,39,0
3943,4,2.5,2160,7000,2.0,0,0,4,9,2160,0,2300,7440,3,74,653000,27,0
3944,3,2.5,2160,7584,2.0,0,0,3,8,2160,0,2160,7372,1,70,555000,28,0
3945,2,2.5,2720,16637,1.0,0,3,3,10,2160,560,2880,7320,1,70,1440000,63,0
3946,4,2.5,2160,6825,2.0,0,0,3,8,2160,0,2020,7035,2,57,325000,22,0
3947,2,2.5,2160,5581,1.0,0,0,3,8,2160,0,2315,5652,1,73,715000,14,0
3948,4,2.5,2160,6223,2.0,0,0,3,8,2160,0,2160,5555,1,53,383000,6,0
3949,5,3.0,3730,5500,1.5,0,0,3,7,2160,1570,1890,5500,1,63,979700,89,0
3950,4,2.5,2160,5455,2.0,0,0,3,7,2160,0,2160,5257,3,58,340000,13,0
3951,4,2.0,2160,6300,1.5,0,1,4,8,2160,0,1980,5152,1,75,849000,88,0
3952,4,3.5,3190,5040,2.0,0,3,3,10,2160,1030,2390,4800,2,68,1340000,13,0
3953,5,1.5,2160,5000,1.5,0,2,4,8,2160,0,1450,4265,1,74,770000,90,0
3954,3,3.0,2340,2970,2.0,0,0,5,8,2160,180,1370,4000,1,64,660000,91,0
3955,3,2.5,2160,4297,2.0,0,0,3,9,2160,0,2160,3968,1,65,520000,17,0
3956,3,2.25,2160,7500,2.0,0,0,3,10,2160,0,1550,3839,1,57,1010000,34,0
3957,4,3.0,2320,4468,2.0,0,0,3,8,2160,160,2330,3541,2,80,637500,17,0
3958,4,2.5,2160,5298,2.5,0,0,4,9,2160,0,1720,2283,1,67,842500,114,0
3959,5,2.5,2860,4000,2.0,0,0,4,8,2160,700,1340,1224,1,51,1200000,106,0
3960,4,2.5,2154,6050,2.0,0,0,3,8,2154,0,2305,5769,3,76,335000,4,0
3961,4,2.5,2154,4153,2.0,0,0,3,9,2154,0,2154,4091,1,64,390000,4,0
3962,5,1.0,2150,262231,1.5,0,0,3,7,2150,0,1460,46609,3,59,550000,116,16
3963,3,2.0,3120,42247,1.0,0,0,4,7,2150,970,2100,43416,1,72,375000,36,0
3964,4,2.5,2150,37647,2.0,0,0,3,8,2150,0,2410,42193,2,56,380000,25,0
3965,4,2.5,2490,34947,2.0,0,0,3,9,2150,340,2490,39639,1,73,520000,31,0
3966,4,2.5,2150,37981,2.0,0,0,3,9,2150,0,2450,37981,2,69,609000,31,0
3967,4,2.5,2150,27540,2.0,0,0,3,8,2150,0,2150,27540,2,52,550000,19,0
3968,4,1.75,3730,16980,1.0,0,0,4,7,2150,1580,1880,16963,1,67,360000,42,0
3969,6,3.25,4250,23326,1.0,0,3,3,10,2150,2100,3370,15983,1,50,465000,49,0
3970,3,2.5,3490,8343,2.0,1,4,4,9,2150,1340,2990,13104,1,80,1680000,77,25
3971,3,2.5,2150,9266,2.0,0,0,3,8,2150,0,2150,12550,3,53,428040,28,0
3972,4,1.75,2250,13515,1.0,0,0,4,8,2150,100,2150,12508,1,58,350000,76,0
3973,4,2.25,2150,27345,2.0,0,0,5,8,2150,0,2200,11923,2,66,410000,40,0
3974,4,2.5,2150,12028,2.0,0,0,4,8,2150,0,1800,11777,1,78,639000,34,0
3975,3,2.25,2150,30476,2.0,0,0,3,7,2150,0,2010,10800,1,69,335000,25,0
3976,3,2.5,2150,15304,2.0,0,0,4,9,2150,0,2540,10507,1,71,649950,37,0
3977,4,2.5,4060,9734,1.0,0,4,3,9,2150,1910,2750,10370,3,66,603500,39,0
3978,4,1.5,2150,11026,1.0,0,0,4,7,2150,0,1760,10283,2,50,400000,64,0
3979,3,3.0,2430,10500,1.0,0,0,4,8,2150,280,1670,9800,2,77,272000,33,0
3980,4,2.5,2150,7303,2.0,0,0,3,8,2150,0,1940,9569,3,50,392500,11,0
3981,4,2.25,2150,9520,2.0,0,0,4,8,2150,0,2000,9520,2,59,573000,37,0
3982,3,2.5,2150,8361,2.0,0,0,3,8,2150,0,2150,9368,1,65,371000,25,0
3983,3,2.25,2150,9250,2.0,0,0,3,8,2150,0,2240,9266,3,50,559500,32,0
3984,4,1.75,2150,9148,1.0,0,0,4,7,2150,0,2370,9148,2,59,800000,61,0
3985,3,1.0,2150,7007,1.0,0,0,3,6,2150,0,1720,9000,2,59,300000,62,0
3986,4,2.5,2150,9070,2.0,0,0,4,8,2150,0,2230,8995,2,70,615000,31,0
